time,close,high,low,open,volumefrom,volumeto
1352073600,10.92,11.22,10.61,10.8,80505.89,873641
1352332800,10.89,11.07,10.75,10.92,54276.42,590890.22
1352592000,10.95,11.18,10.7,10.89,68600.16,751897.35
1352851200,11.75,11.8,10.82,10.95,114697.42,1291415.19
1353110400,11.8,11.84,11.52,11.75,59817.52,700017.2
1353369600,12.42,12.43,11.57,11.8,104749.28,1247182.86
1353628800,12.48,12.6,12.13,12.42,62561.98,775418.92
1353888000,12.35,12.65,11.89,12.48,99796.72,1222346.13
1354147200,12.56,12.69,12.15,12.35,65552.07,820226.23
1354406400,13.41,13.5,12.43,12.56,104017.25,1336146.36
1354665600,13.5,13.69,12.9,13.41,109157.04,1456579.27
1354924800,13.43,13.55,13.02,13.5,66003.03,881109.54
1355184000,13.7,13.8,13.3,13.43,89922.79,1222570.56
1355443200,13.3,13.9,13,13.7,128092.19,1727613.18
1355702400,13.6,13.6,12.75,13.3,125658.86,1666582.5
1355961600,13.37,13.72,13.32,13.6,73094.21,987385.76
1356220800,13.35,13.47,13.01,13.37,53836.06,715546.35
1356480000,13.42,13.65,13.2,13.35,59475.19,796884.31
1356739200,13.51,13.67,13.27,13.42,52963.13,713798.4
1356998400,13.4,13.56,13.16,13.51,64405.27,858881.39
1357257600,13.45,13.55,13.27,13.4,63712.98,856313.87
1357516800,13.77,13.88,13.4,13.45,96882.47,1324499.43
1357776000,14.24,14.35,13.77,13.77,119177.41,1680014.71
1358035200,14.25,14.48,13.95,14.24,112000.33,1588204.64
1358294400,15.7,15.99,14.21,14.25,167119.48,2533771.32
1358553600,16.8,16.98,15.25,15.7,122073.05,1950809.27
1358812800,16.9,19.19,15.61,16.8,282423.71,4950309.44
1359072000,17.82,18,15.39,16.9,139344.91,2362525.41
1359331200,19.7,19.8,17.75,17.82,188816.35,3585600.98
1359590400,19.63,21.43,18,19.7,229645.83,4644183.07
1359849600,20.6,21.05,19.42,19.63,115675.88,2361369.49
1360108800,22.66,22.77,20.6,20.6,164903.3,3575540.45
1360368000,24.65,24.68,22.58,22.66,124085.81,2920006.39
1360627200,27.22,27.6,21.72,24.65,310124.88,7869654.63
1360886400,26.81,27.51,25,27.22,147583.31,3941054.53
1361145600,29.65,29.87,26.36,26.81,166652.88,4702584.21
1361404800,29.8,31.3,28,29.65,173960.37,5170035.77
1361664000,31.1,31.7,29.2,29.8,93918.17,2857506.47
1361923200,34.5,34.9,30.79,31.1,196776.33,6449996.37
1362182400,36.15,36.7,33.15,34.5,95958.57,3328283.99
1362441600,42,49.1,33.3,36.15,369193.32,15513555.65
1362700800,46,47.95,41.02,42,127935.11,5756613.74
1362960000,46.92,48.47,36.65,46,274316.53,12283974.08
1363219200,47,47.99,46.05,46.92,73643.13,3471776.04
1363478400,59.14,62,46.8,47,190952.34,10047582.64
1363737600,69.87,74.9,57.7,59.14,260641.54,17462796.89
1363996800,73.6,78,52.35,69.87,272229,18247012.83
1364256000,86.18,95.7,73.11,73.6,269157.22,22768227.56
1364515200,93.03,94.98,83.01,86.18,141588.67,12763157.46
1364774400,135,147,92.24,93.03,324561.57,37340180.35
1365033600,142.63,144.94,116.39,135,175239.73,23773047.48
1365292800,230,240.11,142.63,142.63,281047.7,52858809.07
1365552000,117,266,54.25,230,865390.47,101604532.62
1365811200,82.39,130,71.51,117,641295.55,63082206.93
1366070400,109.01,113,50.01,82.39,1072955.8,82184747.49
1366329600,119.2,136.43,105.54,109.01,430662.04,51981199.9
1366588800,154.2,166.43,118.5,119.2,401194.52,57279484.25
1366848000,128,162,120.09,154.2,376543.17,51764660.5
1367107200,139.23,149.08,127.5,128,162962.11,22776923.24
1367366400,98.1,140.06,79,139.23,660654.78,69231194.04
1367625600,112.25,124.9,92,98.1,366901.01,41312942.65
1367884800,112.8,116.78,97.52,112.25,228336.76,24910615.7
1368144000,114.82,122.5,111.54,112.8,126123.02,14747549.23
1368403200,114.22,119.8,103.02,114.82,231919.39,26151932.25
1368662400,123.21,125.56,112.1,114.22,147008.02,17634943
1368921600,122.89,124.5,119.5,123.21,51274.65,6263633.2
1369180800,133.1,133.98,122,122.89,89200.37,11359091.3
1369440000,129.77,136,124,133.1,87022.23,11390777.16
1369699200,128.8,132.72,125.4,129.77,66750.41,8624159.77
1369958400,122.5,130.1,115,128.8,124068.34,15276272.53
1370217600,121.9,123.99,115.11,122.5,67484.12,8117741.58
1370476800,107.89,123.3,106.15,121.9,105089.42,11892442.07
1370736000,109,110.63,88,107.89,229883.42,23162107.43
1370995200,100,112.25,97.1,109,84189.47,8768375.72
1371254400,101.95,103.7,97.5,100,46380.79,4664138.42
1371513600,111.29,114.48,101.03,101.95,121264.11,13201633.25
1371772800,107.9,115.01,106.2,111.29,56408.37,6220917.36
1372032000,104,109.98,100,107.9,135837.52,14124731.05
1372291200,95,104,92.25,104,88032.09,8600816.75
1372550400,90.41,98.18,86.01,95,89509.98,8186964.61
1372809600,68.5,91.2,65.42,90.41,228227.27,17581194.16
1373068800,76,80,66.6,68.5,142978.69,10468365.24
1373328000,88.98,90.7,72.51,76,128165.23,10528422.63
1373587200,94.42,104.17,87.76,88.98,148346.97,14184093.25
1373846400,98.5,101.94,93.11,94.42,68308.91,6737113.33
1374105600,89.82,98.8,86.2,98.5,96611.69,8828068.22
1374364800,95.56,97.13,88,89.82,42483.07,3958358.8
1374624000,96.02,97.48,92.3,95.56,48264.99,4633634.01
1374883200,101.48,102.85,93,96.02,82087.27,8090690.59
1375142400,104,111.65,100.47,101.48,88367.19,9390456.85
1375401600,105.12,108,101.21,104,42782.69,4487357.13
1375660800,105.99,107.77,105,105.12,36566.2,3892197.73
1375920000,103,106.65,100.96,105.99,40045.46,4131710.45
1376179200,109.6,109.64,102.7,103,47005.38,4999703.7
1376438400,108.99,115,108,109.6,79969.47,8934353.83
1376697600,118.5,123.75,108.23,108.99,75468.19,8797125.35
1376956800,122,125,116.82,118.5,68884.89,8382806.65
1377216000,122.11,122.99,118.02,122,35870.27,4297758.32
1377475200,128.76,133,119.92,122.11,77857.75,9896371.47
1377734400,141,148.7,128.18,128.76,85436.44,11781855.22
1377993600,144,148.91,141,141,41747.97,6043577.69
1378252800,121.9,145.8,121.9,144,74952.26,9942708.43
1378512000,133.1,137.48,121.25,121.9,51224.04,6631991.08
1378771200,139.35,145.9,127.5,133.1,70961.19,9776970.98
1379030400,138.3,145.6,135.04,139.35,35453.25,4993829.4
1379289600,140.41,142.23,137.9,138.3,29744.51,4153268.6
1379548800,134.38,141.2,131,140.41,37154.99,5029566.32
1379808000,134.78,136.59,131,134.38,20467.15,2730572.19
1380067200,138.93,142.66,134.7,134.78,43191.25,5938200.89
1380326400,141.9,145.81,138.02,138.93,46389.08,6597569.48
1380585600,130.99,144.44,109.7,141.9,156159.88,19722023.59
1380844800,137.8,139.8,128.5,130.99,28392.72,3836682.87
1381104000,139.5,142.1,135.12,137.8,30083.75,4145098.42
1381363200,142.89,143.05,138.51,139.5,29351.2,4123971.81
1381622400,158.09,158.1,141.5,142.89,61891.13,9271337.93
1381881600,168.28,168.29,144.2,158.09,84552.79,13332129.44
1382140800,192.78,197.37,167.08,168.28,90795.83,16701334.4
1382400000,206.98,233.38,175.3,192.78,170508.26,34937506.75
1382659200,206.91,208.97,176.6,206.98,61993.25,11890719.4
1382918400,208,216.5,200.42,206.91,34561.78,7260472.08
1383177600,211.69,214.99,205.43,208,16049.06,3414327.73
1383436800,251.3,258.87,212.1,211.69,75432.23,17957482.87
1383696000,355,358,251.41,251.3,169581.94,50878694.89
1383955200,362.98,394.99,289.96,355,142162.39,48983676.41
1384214400,433.4,447.49,358.97,362.98,89449.25,36543175.45
1384473600,528.3,536.75,412.97,433.4,73979.7,34352077.65
1384732800,637.97,900.92,453.29,528.3,262767.99,165305275.56
1384992000,832.5,890.03,595.19,637.97,90196.29,67723327.24
1385251200,969.96,974.96,745.21,832.5,83943.91,70500558.25
